actual_class,prob_Bajo,prob_Medio,prob_Alto,prob_Critico,prob_Excelente
Bajo,0.07894057345923232,0.6663486011903329,0.06935411308430402,0.09018911449733322,0.09516759776879756
Medio,0.013745764283718202,0.5933135121690265,0.14138708675244377,0.06654178004275133,0.18501185675206028
Alto,0.022329415841302543,0.063625998321318,0.6539933004615794,0.1862906725657641,0.073760612810036
Critico,0.41542944159708656,0.2005017141835784,0.08539832890259313,0.26880539045294444,0.029865124863797454
Excelente,0.09915782128766269,0.05419372244309192,0.36632547469555105,0.1419419337840925,0.3383810477896018
Medio,0.6630033514334355,0.14196082528352827,0.07209455214699705,0.10399919382709792,0.018942077308941287
Alto,0.012864107107695649,0.16220565201374013,0.5349205702010285,0.13660190655432003,0.15340776412321577
Excelente,0.08510939520871273,0.08244384389821281,0.013441858283170195,0.027705146117751756,0.7912997564921526
Critico,0.06858941939564206,0.1023981823988268,0.04563262091884449,0.613362207715764,0.17001756957092276
Critico,0.13547675354527286,0.0030686520695863773,0.016508445882559758,0.8183943196338621,0.026551828868718996
Bajo,0.4609700099282718,0.254417748701345,0.141197855559518,0.009470068334680977,0.1339443174761843
Critico,0.03806628161418189,0.05289547446290027,0.04656147507924856,0.5677736309935556,0.29470313785011365
Alto,0.01894274504564378,0.03831384864373487,0.5139283356904976,0.1701583423572401,0.2586567282628837
Excelente,0.007376304976173456,0.02862414300188553,0.06288084521946394,0.05779020051378051,0.8433285062886965
Alto,0.0475705057610023,0.16458113871659646,0.7415787105311175,0.01409785520181195,0.03217178978947189
Critico,0.19915929208627026,0.09854169404850802,0.32296166475334454,0.271127638806436,0.10820971030544127
Bajo,0.11438727180230432,0.14961773063658515,0.21836794849371147,0.16095856101792158,0.35666848804947743
Bajo,0.2875479762873898,0.06977418011662292,0.17182667506266874,0.047006268916166175,0.4238448996171524
Medio,0.31200973524667586,0.4492514113631247,0.04650753042920672,0.16297027009175982,0.029261052869232893
Excelente,0.25488036309211903,0.007424351918808685,0.003694295839251286,0.0149704094991222,0.7190305796506988
Bajo,0.07083910794717599,0.15168242335466456,0.5083466305911433,0.033877092912756875,0.23525474519425943
Bajo,0.1936164395198547,0.11493932905904196,0.14469654050759168,0.24852105827085375,0.298226632642658
Alto,0.25382875142791633,0.12890477341453374,0.5836410037932578,0.02948440277931442,0.004141068584977679
Bajo,0.043625332349340844,0.2681138968536159,0.4508822974850217,0.03131061126368211,0.20606786204833938
Medio,0.007171625939198326,0.8064261005064203,0.08117971006565004,0.012173477625117874,0.09304908586361356
